ID	Title	Number of novels	Author	Date	Publisher	Series
1109062214	Big Sky Summer - Zeit der Entscheidung	1			MIRA Taschenbuch	?
1140239163	Big Sky Wedding - Hochzeitsglück in Montana	1			MIRA Taschenbuch	?
1176517368	Bilder der Leidenschaft	1			CORA Verlag	?
1150516089	Billionaire Bachelor's Club - umwerfend verführerisch - 3-teilige Serie	3			MIRA Taschenbuch	?
1136136924	Bis du alles verlierst	1			HarperCollins	?
1046147218	Bis tief in die Seele	1			MIRA Taschenbuch	?
1175424439	Bis wir eins sind : Liebesroman Neuerscheinung	1			MIRA Taschenbuch	?
1046127063	Bis zur letzten Lüge	1			MIRA Taschenbuch	?
1142005801	Biss und Bissigkeit	1			MIRA Taschenbuch	?
117661794X	Bitte betrüg mich nicht	1			CORA Verlag	?
1176634283	Bitte heiraten Sie mich, Mylord!	1			CORA Verlag	?
1176618083	Bitte jetzt nicht stören!	1			CORA Verlag	?
1140239562	Bitte nicht stören : Hush Hotel/Zimmerservice	1			MIRA Taschenbuch	?
1177034417	Bitte schenk mir deine Liebe	1			CORA Verlag	?
1176796305	Bitte, mach mich glücklich	1			CORA Verlag	?
1176634461	Bitte, schenk mir diese Nacht	1			CORA Verlag	?
1176618415	Bittere Tränen - strahlendes Glück : Digital Edition	1			CORA Verlag	?
1176881906	Bittere Wahrheiten	1			CORA Verlag	?
1176948407	Bittersüße Heimkehr	1			CORA Verlag	?
1046149652	Bittersüße Küsse	1			MIRA Taschenbuch	?
1176512471	Bittersüße Küsse auf dem Weihnachtsball : Digital Edition	1			CORA Verlag	?
1176790781	Bittersüße Stunden der Liebe	1			CORA Verlag	?
1148765255	Bittersüßer Zorn	1			MIRA Taschenbuch	?
1175423289	Black Gold Billionaires - Es geht nicht immer ums Geschäft - 4-teilige erotische Serie	4			MIRA Taschenbuch	?
1176500961	Black Jack - Spiel mit der Liebe : Digital Edition	1			CORA Verlag	?
104614782X	Black Jack: Bei Anruf Mord!	1			MIRA Taschenbuch	?
1148757678	Black-Angel-Chroniken - Im Zeichen des schwarzen Engels	1			HarperCollins	?
1062782909	Blackout - Verbotene Spiele : Night Moves	1			MIRA Taschenbuch	?
117696349X	Blackthorn Brothers - 3-teilige Serie	3			CORA Verlag	?
1109062249	Blaubeerzeit	1			MIRA Taschenbuch	?
1109062117	Blaubeerzeit: Das Herz von Smaland	1			MIRA Taschenbuch	?
110906215X	Blaubeerzeit: Das Hotel am einsamen See	1			MIRA Taschenbuch	?
1109062176	Blaubeerzeit: Schicksalsstern über den Schären	1			MIRA Taschenbuch	?
1176512641	Blauer Himmel - goldener Sand	1			CORA Verlag	?
1176796275	Bleib bei mir - bleib in Sydney	1			CORA Verlag	?
117702649X	Bleib bei mir, Greg : Digital Edition	1			CORA Verlag	?
1177030438	Bleib doch für immer!	1			CORA Verlag	?
